partner,total_export_value_all_HS_2013_2024,total_export_value_stable_HS_2013_2024,value_share_stable,hs6_count_in_file,stable_hs6_exported_count,years_detected
Austria,126576766.0,9608056.0,0.07590694804131747,5808,1966,12
Spain,294597523.0,22203380.0,0.07536852236194803,5808,1966,12
France,603599073.0,42075480.0,0.06970766172796955,5808,1966,12
Netherlands,154940380.0,10762993.0,0.06946538403997718,5808,1966,12
Switzerland,291195199.0,17547496.0,0.06026025174954893,5808,1966,12
Poland,170283618.0,10109184.0,0.059366744251346595,5808,1966,12
Romania,94385509.0,5299127.0,0.05614343828987562,5808,1966,12
Germany,721321472.0,39349961.0,0.05455259898321729,5808,1966,12
Czech Republic,76459910.0,4112410.0,0.05378517971051758,5808,1966,12
Belgium,187022564.0,8376358.0,0.04478795403532164,5808,1966,12
